,Observed,Shannon,Simpson,bird,population,site,sex,timepoint,time,flock,serviceband,pair
X101,458,6.126869184,0.997816594,BIRD12,migratory,Cloaca,male,Time 1,1,migratorymale,232167143,8
X102,152,5.023880521,0.993421053,BIRD15,resident,Cloaca,male,Time 2,2,residentmale,232167124,4
X105,573,6.350885717,0.998254799,BIRD12,migratory,Cloaca,male,Time 2,2,migratorymale,232167143,8
X108,457,6.124683391,0.997811816,BIRD22,resident,Cloaca,female,Time 3,3,residentfemale,232167131,6
X110,646,6.470799504,0.998452012,BIRD07,migratory,Cloaca,male,Time 3,3,migratorymale,231115833,3
X111,303,5.713732806,0.99669967,BIRD03,migratory,Cloaca,female,Time 2,2,migratoryfemale,232167119,9
X112,337,5.82008293,0.997032641,BIRD20,resident,Cloaca,male,Time 1,1,residentmale,232167193,2
X129,468,6.148468296,0.997863248,BIRD05,migratory,Cloaca,female,Time 2,2,migratoryfemale,232167133,5
X130,483,6.180016654,0.997929607,BIRD09,migratory,Cloaca,male,Time 1,1,migratorymale,232167121,12
X134,228,5.429345629,0.995614035,BIRD01,migratory,Cloaca,female,Time 2,2,migratoryfemale,232167117,10
X138,180,5.192956851,0.994444444,BIRD25,resident,Cloaca,female,Time 4,4,residentfemale,232167157,11
X139,225,5.416100402,0.995555556,BIRD05,migratory,Cloaca,female,Time 1,1,migratoryfemale,232167133,5
X140,509,6.232448017,0.998035363,BIRD08,migratory,Cloaca,male,Time 5,5,migratorymale,232167120,1
X142,440,6.086774727,0.997727273,BIRD06,migratory,Cloaca,female,Time 3,3,migratoryfemale,232167137,3
X143,157,5.056245805,0.993630573,BIRD16,resident,Cloaca,male,Time 3,3,residentmale,232167125,9
X144,666,6.501289671,0.998498498,BIRD08,migratory,Cloaca,male,Time 2,2,migratorymale,232167120,1
X146,333,5.80814249,0.996996997,BIRD16,resident,Cloaca,male,Time 2,2,residentmale,232167125,9
X149,255,5.541263545,0.996078431,BIRD15,resident,Cloaca,male,Time 5,5,residentmale,232167124,4
X150,127,4.844187086,0.992125984,BIRD15,resident,Cloaca,male,Time 0,0,residentmale,232167124,4
X151,229,5.433722004,0.995633188,BIRD26,resident,Cloaca,female,Time 5,5,residentfemale,232167161,7
X157,647,6.472346295,0.998454405,BIRD20,resident,Cloaca,male,Time 3,3,residentmale,232167193,2
X16,131,4.875197323,0.992366412,BIRD07,migratory,Cloaca,male,Time 4,4,migratorymale,231115833,3
X160,148,4.997212274,0.993243243,BIRD04,migratory,Cloaca,female,Time 0,0,migratoryfemale,232167132,4
X161,470,6.152732695,0.99787234,BIRD20,resident,Cloaca,male,Time 5,5,residentmale,232167193,2
X167,378,5.934894196,0.997354497,BIRD08,migratory,Cloaca,male,Time 1,1,migratorymale,232167120,1
X170,838,6.7310181,0.998806683,BIRD12,migratory,Cloaca,male,Time 3,3,migratorymale,232167143,8
X171,242,5.488937726,0.995867769,BIRD05,migratory,Cloaca,female,Time 5,5,migratoryfemale,232167133,5
X173,613,6.418364936,0.998368679,BIRD16,resident,Cloaca,male,Time 0,0,residentmale,232167125,9
X175,194,5.267858159,0.994845361,BIRD18,resident,Cloaca,male,Time 4,4,residentmale,232167128,11
X177,572,6.349138991,0.998251748,BIRD21,resident,Cloaca,female,Time 3,3,residentfemale,232167129,2
X178,381,5.942799375,0.997375328,BIRD08,migratory,Cloaca,male,Time 0,0,migratorymale,232167120,1
X185,468,6.148468296,0.997863248,BIRD03,migratory,Cloaca,female,Time 3,3,migratoryfemale,232167119,9
X19,576,6.356107661,0.998263889,BIRD19,resident,Cloaca,male,Time 2,2,residentmale,232167130,6
X192,178,5.18178355,0.994382022,BIRD05,migratory,Cloaca,female,Time 4,4,migratoryfemale,232167133,5
X193,137,4.919980926,0.99270073,BIRD22,resident,Cloaca,female,Time 2,2,residentfemale,232167131,6
X194,90,4.49980967,0.988888889,BIRD10,migratory,Cloaca,male,Time 4,4,migratorymale,232167135,10
X195,113,4.727387819,0.991150442,BIRD21,resident,Cloaca,female,Time 0,0,residentfemale,232167129,2
X197,267,5.587248658,0.996254682,BIRD19,resident,Cloaca,male,Time 1,1,residentmale,232167130,6
X198,365,5.899897354,0.997260274,BIRD17,resident,Cloaca,male,Time 0,0,residentmale,232167127,7
