"sample","original","bird","population","site","sex","timepoint","time","flock","serviceband","pair","control","mock","Observed","Shannon","Simpson"
"101",419,"BIRD12","migratory","Cloaca","male","Time 1",1,"migratorymale",232167143,8,"no","no",458,6.12686918411418,0.997816593886463
"102",159,"BIRD15","resident","Cloaca","male","Time 2",2,"residentmale",232167124,4,"no","no",152,5.02388052084628,0.993421052631579
"105",155,"BIRD12","migratory","Cloaca","male","Time 2",2,"migratorymale",232167143,8,"no","no",573,6.35088571671482,0.99825479930192
"108",217,"BIRD22","resident","Cloaca","female","Time 3",3,"residentfemale",232167131,6,"no","no",457,6.12468339089415,0.99781181619256
"110",203,"BIRD07","migratory","Cloaca","male","Time 3",3,"migratorymale",231115833,3,"no","no",646,6.47079950378255,0.998452012383901
"111",181,"BIRD03","migratory","Cloaca","female","Time 2",2,"migratoryfemale",232167119,9,"no","no",303,5.71373280550934,0.996699669966997
"112",395,"BIRD20","resident","Cloaca","male","Time 1",1,"residentmale",232167193,2,"no","no",337,5.8200829303524,0.997032640949555
"129",177,"BIRD05","migratory","Cloaca","female","Time 2",2,"migratoryfemale",232167133,5,"no","no",468,6.14846829591759,0.997863247863248
"130",413,"BIRD09","migratory","Cloaca","male","Time 1",1,"migratorymale",232167121,12,"no","no",483,6.18001665365262,0.997929606625259
"134",173,"BIRD01","migratory","Cloaca","female","Time 2",2,"migratoryfemale",232167117,10,"no","no",228,5.42934562895441,0.995614035087719
"138",285,"BIRD25","resident","Cloaca","female","Time 4",4,"residentfemale",232167157,11,"no","no",180,5.19295685089021,0.994444444444444
"139",381,"BIRD05","migratory","Cloaca","female","Time 1",1,"migratoryfemale",232167133,5,"no","no",225,5.41610040220444,0.995555555555556
"140",459,"BIRD08","migratory","Cloaca","male","Time 5",5,"migratorymale",232167120,1,"no","no",509,6.2324480165506,0.99803536345776
"142",205,"BIRD06","migratory","Cloaca","female","Time 3",3,"migratoryfemale",232167137,3,"no","no",440,6.08677472691226,0.997727272727273
"143",227,"BIRD16","resident","Cloaca","male","Time 3",3,"residentmale",232167125,9,"no","no",157,5.05624580534831,0.993630573248408
"144",149,"BIRD08","migratory","Cloaca","male","Time 2",2,"migratorymale",232167120,1,"no","no",666,6.5012896705404,0.998498498498498
"146",165,"BIRD16","resident","Cloaca","male","Time 2",2,"residentmale",232167125,9,"no","no",333,5.80814248998044,0.996996996996997
"149",433,"BIRD15","resident","Cloaca","male","Time 5",5,"residentmale",232167124,4,"no","no",255,5.54126354515845,0.996078431372549
"150",38,"BIRD15","resident","Cloaca","male","Time 0",0,"residentmale",232167124,4,"no","no",127,4.84418708645859,0.992125984251969
"151",455,"BIRD26","resident","Cloaca","female","Time 5",5,"residentfemale",232167161,7,"no","no",229,5.43372200355423,0.995633187772926
"157",199,"BIRD20","resident","Cloaca","male","Time 3",3,"residentmale",232167193,2,"no","no",647,6.472346294501,0.998454404945904
"16",251,"BIRD07","migratory","Cloaca","male","Time 4",4,"migratorymale",231115833,3,"no","no",131,4.87519732320117,0.99236641221374
"160",59,"BIRD04","migratory","Cloaca","female","Time 0",0,"migratoryfemale",232167132,4,"no","no",148,4.99721227376412,0.993243243243243
"161",443,"BIRD20","resident","Cloaca","male","Time 5",5,"residentmale",232167193,2,"no","no",470,6.15273269470409,0.997872340425532
"167",411,"BIRD08","migratory","Cloaca","male","Time 1",1,"migratorymale",232167120,1,"no","no",378,5.93489419561961,0.997354497354497
"170",223,"BIRD12","migratory","Cloaca","male","Time 3",3,"migratorymale",232167143,8,"no","no",838,6.73101810048201,0.998806682577566
"171",429,"BIRD05","migratory","Cloaca","female","Time 5",5,"migratoryfemale",232167133,5,"no","no",242,5.48893772615668,0.995867768595041
"173",41,"BIRD16","resident","Cloaca","male","Time 0",0,"residentmale",232167125,9,"no","no",613,6.41836493593628,0.99836867862969
"175",283,"BIRD18","resident","Cloaca","male","Time 4",4,"residentmale",232167128,11,"no","no",194,5.26785815906333,0.994845360824742
"177",201,"BIRD21","resident","Cloaca","female","Time 3",3,"residentfemale",232167129,2,"no","no",572,6.34913899137974,0.998251748251748
"178",22,"BIRD08","migratory","Cloaca","male","Time 0",0,"migratorymale",232167120,1,"no","no",381,5.94279937512667,0.99737532808399
"185",229,"BIRD03","migratory","Cloaca","female","Time 3",3,"migratoryfemale",232167119,9,"no","no",468,6.14846829591759,0.997863247863248
"19",167,"BIRD19","resident","Cloaca","male","Time 2",2,"residentmale",232167130,6,"no","no",576,6.35610766069586,0.998263888888889
"192",261,"BIRD05","migratory","Cloaca","female","Time 4",4,"migratoryfemale",232167133,5,"no","no",178,5.18178355029208,0.99438202247191
"193",185,"BIRD22","resident","Cloaca","female","Time 2",2,"residentfemale",232167131,6,"no","no",137,4.91998092582814,0.992700729927007
"194",279,"BIRD10","migratory","Cloaca","male","Time 4",4,"migratorymale",232167135,10,"no","no",90,4.49980967033027,0.988888888888889
"195",54,"BIRD21","resident","Cloaca","female","Time 0",0,"residentfemale",232167129,2,"no","no",113,4.72738781871233,0.991150442477876
"197",393,"BIRD19","resident","Cloaca","male","Time 1",1,"residentmale",232167130,6,"no","no",267,5.58724865840025,0.99625468164794
"198",47,"BIRD17","resident","Cloaca","male","Time 0",0,"residentmale",232167127,7,"no","no",365,5.89989735358248,0.997260273972603
"200",16,"BIRD02","migratory","Cloaca","female","Time 0",0,"migratoryfemale",232167118,12,"no","no",384,5.95064255258774,0.997395833333333
"201",255,"BIRD15","resident","Cloaca","male","Time 4",4,"residentmale",232167124,4,"no","no",112,4.71849887129509,0.991071428571429
"202",271,"BIRD12","migratory","Cloaca","male","Time 4",4,"migratorymale",232167143,8,"no","no",280,5.63478960316925,0.996428571428571
"205",121,"BIRD26","resident","Cloaca","female","Time 0",0,"residentfemale",232167161,7,"no","no",1063,6.96885037834207,0.999059266227658
"213",269,"BIRD26","resident","Cloaca","female","Time 4",4,"residentfemale",232167161,7,"no","no",101,4.61512051684126,0.99009900990099
"217",209,"BIRD04","migratory","Cloaca","female","Time 3",3,"migratoryfemale",232167132,4,"no","no",266,5.58349630878171,0.996240601503759
"218",175,"BIRD02","migratory","Cloaca","female","Time 2",2,"migratoryfemale",232167118,12,"no","no",466,6.1441856341257,0.997854077253219
"221",245,"BIRD23","resident","Cloaca","female","Time 4",4,"residentfemale",232167147,1,"no","no",168,5.12396397940325,0.994047619047619
"23",373,"BIRD01","migratory","Cloaca","female","Time 1",1,"migratoryfemale",232167117,10,"no","no",254,5.53733426701852,0.996062992125984
"231",465,"BIRD11","migratory","Cloaca","male","Time 5",5,"migratorymale",232167136,5,"no","no",391,5.96870755998537,0.997442455242967
"232",157,"BIRD11","migratory","Cloaca","male","Time 2",2,"migratorymale",232167136,5,"no","no",473,6.15909538849188,0.997885835095137
"234",247,"BIRD20","resident","Cloaca","male","Time 4",4,"residentmale",232167193,2,"no","no",54,3.98898404656428,0.981481481481482
"235",193,"BIRD25","resident","Cloaca","female","Time 2",2,"residentfemale",232167157,11,"no","no",958,6.8648477779709,0.998956158663883
"239",423,"BIRD02","migratory","Cloaca","female","Time 5",5,"migratoryfemale",232167118,12,"no","no",164,5.0998664278242,0.99390243902439
"24",83,"BIRD12","migratory","Cloaca","male","Time 0",0,"migratorymale",232167143,8,"no","no",636,6.4551985633402,0.998427672955975
"241",403,"BIRD23","resident","Cloaca","female","Time 1",1,"residentfemale",232167147,1,"no","no",221,5.39816270151773,0.995475113122172
"242",189,"BIRD26","resident","Cloaca","female","Time 2",2,"residentfemale",232167161,7,"no","no",1042,6.94889722231336,0.999040307101727
"243",375,"BIRD02","migratory","Cloaca","female","Time 1",1,"migratoryfemale",232167118,12,"no","no",57,4.04305126783455,0.982456140350877
"244",191,"BIRD24","resident","Cloaca","female","Time 2",2,"residentfemale",232167148,8,"no","no",422,6.04500531403597,0.997630331753555
"246",57,"BIRD22","resident","Cloaca","female","Time 0",0,"residentfemale",232167131,6,"no","no",463,6.13772705408616,0.997840172786177
