"","sample_pair","group","beta_div_method","beta_div_value"
"1","150-160","Time 0","bray",0.92
"2","150-173","Time 0","bray",0.918918918918919
"3","150-178","Time 0","bray",0.917322834645669
"4","150-195","Time 0","bray",0.908333333333333
"5","150-198","Time 0","bray",0.926829268292683
"6","150-200","Time 0","bray",0.913894324853229
"7","150-205","Time 0","bray",0.936134453781513
"8","150-24","Time 0","bray",0.937090432503277
"9","150-246","Time 0","bray",0.911864406779661
"10","150-264","Time 0","bray",0.923232323232323
"11","150-287","Time 0","bray",0.956284153005464
"12","150-297","Time 0","bray",0.973154362416107
"13","150-31","Time 0","bray",0.896907216494845
"14","150-32","Time 0","bray",0.907534246575342
"15","150-342","Time 0","bray",0.913333333333333
"16","150-348","Time 0","bray",0.932611311672684
"17","150-357","Time 0","bray",0.937229437229437
"18","150-365","Time 0","bray",0.9635079458505
"19","150-42","Time 0","bray",0.922480620155039
"20","150-48","Time 0","bray",0.921696574225122
"21","150-55","Time 0","bray",0.949755757152826
"22","150-63","Time 0","bray",0.930971843778383
"23","150-87","Time 0","bray",0.926078028747433
"24","160-173","Time 0","bray",0.892247043363995
"25","160-178","Time 0","bray",0.905482041587902
"26","160-195","Time 0","bray",0.839080459770115
"27","160-198","Time 0","bray",0.898635477582846
"28","160-200","Time 0","bray",0.902255639097744
"29","160-205","Time 0","bray",0.922378199834847
"30","160-24","Time 0","bray",0.892857142857143
"31","160-246","Time 0","bray",0.905073649754501
"32","160-264","Time 0","bray",0.895348837209302
"33","160-287","Time 0","bray",0.940740740740741
"34","160-297","Time 0","bray",0.952941176470588
"35","160-31","Time 0","bray",0.880597014925373
"36","160-32","Time 0","bray",0.910743801652893
"37","160-342","Time 0","bray",0.877616747181965
"38","160-348","Time 0","bray",0.908450704225352
"39","160-357","Time 0","bray",0.911111111111111
"40","160-365","Time 0","bray",0.936046511627907
"41","160-42","Time 0","bray",0.912912912912913
"42","160-48","Time 0","bray",0.933753943217666
"43","160-55","Time 0","bray",0.939477303988996
"44","160-63","Time 0","bray",0.918003565062389
"45","160-87","Time 0","bray",0.885826771653543
"46","173-178","Time 0","bray",0.853118712273642
"47","173-195","Time 0","bray",0.909090909090909
"48","173-198","Time 0","bray",0.893660531697341
"49","173-200","Time 0","bray",0.843530591775326
"50","173-205","Time 0","bray",0.788782816229117
"51","173-24","Time 0","bray",0.849479583666934
"52","173-246","Time 0","bray",0.855018587360595
"53","173-264","Time 0","bray",0.879714576962283
"54","173-287","Time 0","bray",0.853333333333333
"55","173-297","Time 0","bray",0.981102362204724
"56","173-31","Time 0","bray",0.831460674157303
"57","173-32","Time 0","bray",0.835514018691589
"58","173-342","Time 0","bray",0.847145488029466
"59","173-348","Time 0","bray",0.840546697038724
"60","173-357","Time 0","bray",0.843971631205674
"61","173-365","Time 0","bray",0.871853546910755
"62","173-42","Time 0","bray",0.86737400530504
"63","173-48","Time 0","bray",0.839854413102821
"64","173-55","Time 0","bray",0.849921834288692
"65","173-63","Time 0","bray",0.805923125393825
