"X","sample_pair","group","beta_div_method","beta_div_value","time.x","pair","time.y"
1,"150-160","Time 0","bray",0.92,0,4,0
56,"173-31","Time 0","bray",0.831460674157303,0,9,0
81,"178-365","Time 0","bray",0.906810035842294,0,1,0
97,"195-342","Time 0","bray",0.918088737201365,0,2,0
107,"198-205","Time 0","bray",0.878151260504202,0,7,0
140,"200-87","Time 0","bray",0.873655913978495,0,12,0
158,"24-264","Time 0","bray",0.886454183266932,0,8,0
178,"246-348","Time 0","bray",0.87146529562982,0,6,0
201,"287-32","Time 0","bray",0.881828316610925,0,3,0
219,"297-55","Time 0","bray",0.987951807228916,0,10,0
258,"357-48","Time 0","bray",0.864380358534684,0,5,0
269,"42-63","Time 0","bray",0.880697050938338,0,11,0
288,"101-279","Time 1","bray",0.678524374176548,1,8,1
314,"112-318","Time 1","bray",0.760629921259843,1,2,1
327,"130-243","Time 1","bray",0.955555555555556,1,12,1
357,"139-343","Time 1","bray",0.702508960573477,1,5,1
365,"167-241","Time 1","bray",0.736227045075125,1,1,1
398,"197-5","Time 1","bray",0.656862745098039,1,6,1
406,"23-291","Time 1","bray",0.854785478547855,1,10,1
459,"257-46","Time 1","bray",0.695876288659794,1,3,1
462,"263-269","Time 1","bray",0.819548872180451,1,11,1
512,"295-358","Time 1","bray",0.858823529411765,1,9,1
518,"300-323","Time 1","bray",0.796019900497512,1,7,1
549,"359-96","Time 1","bray",0.705627705627706,1,4,1
573,"102-369","Time 2","bray",0.826530612244898,2,4,2
587,"105-244","Time 2","bray",0.847236180904523,2,8,2
601,"111-146","Time 2","bray",0.776729559748428,2,9,2
625,"129-232","Time 2","bray",0.77470775770457,2,5,2
652,"134-340","Time 2","bray",0.846153846153846,2,10,2
674,"144-37","Time 2","bray",0.897374701670644,2,1,2
693,"19-193","Time 2","bray",0.879382889200561,2,6,2
733,"218-341","Time 2","bray",0.760797342192691,2,12,2
755,"235-275","Time 2","bray",0.899145299145299,2,11,2
767,"242-286","Time 2","bray",0.818840579710145,2,7,2
792,"250-83","Time 2","bray",0.819753086419753,2,2,2
797,"27-36","Time 2","bray",0.81077694235589,2,3,2
837,"108-266","Time 3","bray",0.792746113989637,3,6,3
852,"110-142","Time 3","bray",0.797421731123389,3,3,3
898,"143-185","Time 3","bray",0.84,3,9,3
916,"157-177","Time 3","bray",0.758818703855619,3,2,3
940,"170-29","Time 3","bray",0.797101449275362,3,8,3
991,"217-353","Time 3","bray",0.800285306704708,3,4,3
1014,"272-285","Time 3","bray",0.90139808682855,3,11,3
1055,"303-45","Time 3","bray",0.824915824915825,3,5,3
1067,"316-76","Time 3","bray",0.763490241102181,3,10,3
1083,"374-99","Time 3","bray",0.792843691148776,3,7,3
1084,"376-38","Time 3","bray",0.85312783318223,3,1,3
1099,"52-62","Time 3","bray",0.810012836970475,3,12,3
1106,"138-175","Time 4","bray",0.705882352941177,4,11,4
1142,"16-338","Time 4","bray",0.849462365591398,4,3,4
1179,"192-258","Time 4","bray",0.807308970099668,4,5,4
1199,"194-276","Time 4","bray",0.860082304526749,4,10,4
1223,"201-49","Time 4","bray",0.849658314350797,4,4,4
1232,"202-249","Time 4","bray",0.685358255451713,4,8,4
1252,"213-333","Time 4","bray",0.919254658385093,4,7,4
1262,"221-247","Time 4","bray",0.864367816091954,4,1,4
1287,"234-85","Time 4","bray",0.910906298003072,4,2,4
1343,"311-9","Time 4","bray",0.850899742930591,4,9,4
1360,"345-43","Time 4","bray",0.803921568627451,4,6,4
1377,"65-92","Time 4","bray",0.815217391304348,4,12,4
1402,"140-73","Time 5","bray",0.762352941176471,5,1,5
1414,"149-312","Time 5","bray",0.714893617021277,5,4,5
1442,"151-388","Time 5","bray",0.705024311183144,5,7,5
1452,"161-253","Time 5","bray",0.754022988505747,5,2,5
1467,"171-231","Time 5","bray",0.703001579778831,5,5,5
1504,"239-248","Time 5","bray",0.760299625468165,5,12,5
1538,"25-290","Time 5","bray",0.674044265593561,5,6,5
1585,"310-387","Time 5","bray",0.75771971496437,5,11,5
1609,"328-7","Time 5","bray",0.8005698005698,5,3,5
1612,"33-334","Time 5","bray",0.750788643533123,5,10,5
1629,"367-378","Time 5","bray",0.770992366412214,5,9,5
1653,"40-86","Time 5","bray",0.774789915966387,5,8,5
