sample,original,bird,population,site,sex,timepoint,time,flock,serviceband,pair,control,mock
365,91,BIRD23,resident,Cloaca,female,Time 0,0,residentfemale,232167147,1,no,no
178,22,BIRD08,migratory,Cloaca,male,Time 0,0,migratorymale,232167120,1,no,no
241,403,BIRD23,resident,Cloaca,female,Time 1,1,residentfemale,232167147,1,no,no
167,411,BIRD08,migratory,Cloaca,male,Time 1,1,migratorymale,232167120,1,no,no
37,187,BIRD23,resident,Cloaca,female,Time 2,2,residentfemale,232167147,1,no,no
144,149,BIRD08,migratory,Cloaca,male,Time 2,2,migratorymale,232167120,1,no,no
38,197,BIRD23,resident,Cloaca,female,Time 3,3,residentfemale,232167147,1,no,no
376,195,BIRD08,migratory,Cloaca,male,Time 3,3,migratorymale,232167120,1,no,no
221,245,BIRD23,resident,Cloaca,female,Time 4,4,residentfemale,232167147,1,no,no
247,243,BIRD08,migratory,Cloaca,male,Time 4,4,migratorymale,232167120,1,no,no
73,449,BIRD23,resident,Cloaca,female,Time 5,5,residentfemale,232167147,1,no,no
140,459,BIRD08,migratory,Cloaca,male,Time 5,5,migratorymale,232167120,1,no,no
195,54,BIRD21,resident,Cloaca,female,Time 0,0,residentfemale,232167129,2,no,no
342,51,BIRD20,resident,Cloaca,male,Time 0,0,residentmale,232167193,2,no,no
318,397,BIRD21,resident,Cloaca,female,Time 1,1,residentfemale,232167129,2,no,no
112,395,BIRD20,resident,Cloaca,male,Time 1,1,residentmale,232167193,2,no,no
83,183,BIRD21,resident,Cloaca,female,Time 2,2,residentfemale,232167129,2,no,no
250,163,BIRD20,resident,Cloaca,male,Time 2,2,residentmale,232167193,2,no,no
177,201,BIRD21,resident,Cloaca,female,Time 3,3,residentfemale,232167129,2,no,no
157,199,BIRD20,resident,Cloaca,male,Time 3,3,residentmale,232167193,2,no,no
85,249,BIRD21,resident,Cloaca,female,Time 4,4,residentfemale,232167129,2,no,no
234,247,BIRD20,resident,Cloaca,male,Time 4,4,residentmale,232167193,2,no,no
253,445,BIRD21,resident,Cloaca,female,Time 5,5,residentfemale,232167129,2,no,no
161,443,BIRD20,resident,Cloaca,male,Time 5,5,residentmale,232167193,2,no,no
32,69,BIRD06,migratory,Cloaca,female,Time 0,0,migratoryfemale,232167137,3,no,no
287,28,BIRD07,migratory,Cloaca,male,Time 0,0,migratorymale,231115833,3,no,no
257,383,BIRD06,migratory,Cloaca,female,Time 1,1,migratoryfemale,232167137,3,no,no
46,409,BIRD07,migratory,Cloaca,male,Time 1,1,migratorymale,231115833,3,no,no
27,179,BIRD06,migratory,Cloaca,female,Time 2,2,migratoryfemale,232167137,3,no,no
36,147,BIRD07,migratory,Cloaca,male,Time 2,2,migratorymale,231115833,3,no,no
142,205,BIRD06,migratory,Cloaca,female,Time 3,3,migratoryfemale,232167137,3,no,no
110,203,BIRD07,migratory,Cloaca,male,Time 3,3,migratorymale,231115833,3,no,no
338,253,BIRD06,migratory,Cloaca,female,Time 4,4,migratoryfemale,232167137,3,no,no
16,251,BIRD07,migratory,Cloaca,male,Time 4,4,migratorymale,231115833,3,no,no
7,431,BIRD06,migratory,Cloaca,female,Time 5,5,migratoryfemale,232167137,3,no,no
328,457,BIRD07,migratory,Cloaca,male,Time 5,5,migratorymale,231115833,3,no,no
160,59,BIRD04,migratory,Cloaca,female,Time 0,0,migratoryfemale,232167132,4,no,no
150,38,BIRD15,resident,Cloaca,male,Time 0,0,residentmale,232167124,4,no,no
359,379,BIRD04,migratory,Cloaca,female,Time 1,1,migratoryfemale,232167132,4,no,no
96,385,BIRD15,resident,Cloaca,male,Time 1,1,residentmale,232167124,4,no,no
369,171,BIRD04,migratory,Cloaca,female,Time 2,2,migratoryfemale,232167132,4,no,no
102,159,BIRD15,resident,Cloaca,male,Time 2,2,residentmale,232167124,4,no,no
217,209,BIRD04,migratory,Cloaca,female,Time 3,3,migratoryfemale,232167132,4,no,no
353,207,BIRD15,resident,Cloaca,male,Time 3,3,residentmale,232167124,4,no,no
49,257,BIRD04,migratory,Cloaca,female,Time 4,4,migratoryfemale,232167132,4,no,no
201,255,BIRD15,resident,Cloaca,male,Time 4,4,residentmale,232167124,4,no,no
312,427,BIRD04,migratory,Cloaca,female,Time 5,5,migratoryfemale,232167132,4,no,no
149,433,BIRD15,resident,Cloaca,male,Time 5,5,residentmale,232167124,4,no,no
357,61,BIRD05,migratory,Cloaca,female,Time 0,0,migratoryfemale,232167133,5,no,no
48,67,BIRD11,migratory,Cloaca,male,Time 0,0,migratorymale,232167136,5,no,no
139,381,BIRD05,migratory,Cloaca,female,Time 1,1,migratoryfemale,232167133,5,no,no
343,417,BIRD11,migratory,Cloaca,male,Time 1,1,migratorymale,232167136,5,no,no
129,177,BIRD05,migratory,Cloaca,female,Time 2,2,migratoryfemale,232167133,5,no,no
232,157,BIRD11,migratory,Cloaca,male,Time 2,2,migratorymale,232167136,5,no,no
303,213,BIRD05,migratory,Cloaca,female,Time 3,3,migratoryfemale,232167133,5,no,no
45,211,BIRD11,migratory,Cloaca,male,Time 3,3,migratorymale,232167136,5,no,no
192,261,BIRD05,migratory,Cloaca,female,Time 4,4,migratoryfemale,232167133,5,no,no
258,259,BIRD11,migratory,Cloaca,male,Time 4,4,migratorymale,232167136,5,no,no
171,429,BIRD05,migratory,Cloaca,female,Time 5,5,migratoryfemale,232167133,5,no,no
231,465,BIRD11,migratory,Cloaca,male,Time 5,5,migratorymale,232167136,5,no,no
246,57,BIRD22,resident,Cloaca,female,Time 0,0,residentfemale,232167131,6,no,no
348,55,BIRD19,resident,Cloaca,male,Time 0,0,residentmale,232167130,6,no,no
5,399,BIRD22,resident,Cloaca,female,Time 1,1,residentfemale,232167131,6,no,no
197,393,BIRD19,resident,Cloaca,male,Time 1,1,residentmale,232167130,6,no,no
193,185,BIRD22,resident,Cloaca,female,Time 2,2,residentfemale,232167131,6,no,no
19,167,BIRD19,resident,Cloaca,male,Time 2,2,residentmale,232167130,6,no,no
108,217,BIRD22,resident,Cloaca,female,Time 3,3,residentfemale,232167131,6,no,no
266,215,BIRD19,resident,Cloaca,male,Time 3,3,residentmale,232167130,6,no,no
43,265,BIRD22,resident,Cloaca,female,Time 4,4,residentfemale,232167131,6,no,no
