"","ASV1","ASV2","ASV25","ASV47","ASV69","ASV102","ASV178","ASV261","ASV315","ASV350","ASV352","ASV548","ASV764","ASV1180","ASV1510","ASV1650","ASV2247","ASV2263","ASV2385","ASV2679","ASV5312","ASV5425","ASV6615","ASV7140","ASV7525","ASV7760","ASV9005","ASV9196","ASV12760","ASV17612"
"101",0.00253164556962025,0.0784810126582278,0.412658227848103,0.136708860759494,0.151898734177215,0.030379746835443,0.010126582278481,0.0658227848101266,0.010126582278481,0.0151898734177215,0.0379746835443038,0.00506329113924051,0.00759493670886076,0.00253164556962025,0.010126582278481,0.00253164556962025,0,0.0177215189873418,0,0,0,0,0,0,0,0,0,0.00253164556962025,0,0
"102",0.0151515151515152,0.0378787878787879,0.462121212121212,0.128787878787879,0.257575757575757,0.0227272727272727,0.0151515151515152,0.0151515151515152,0.00757575757575758,0.0151515151515152,0,0.00757575757575758,0,0.00757575757575758,0,0,0,0.00757575757575758,0,0,0,0,0,0,0,0,0,0,0,0
"105",0.00440528634361234,0.0859030837004406,0.378854625550661,0.187224669603524,0.162995594713656,0.0308370044052863,0.00440528634361234,0.052863436123348,0.013215859030837,0.00440528634361234,0.026431718061674,0.0066079295154185,0.0110132158590308,0.013215859030837,0.00881057268722467,0,0,0.0066079295154185,0,0,0,0.00220264317180617,0,0,0,0,0,0,0,0
"108",0.00859598853868195,0.0888252148997134,0.358166189111747,0.206303724928366,0.163323782234957,0.0343839541547278,0.0171919770773639,0.0343839541547278,0.00573065902578797,0.0143266475644699,0.0315186246418338,0,0.00573065902578797,0.00573065902578797,0,0,0.00573065902578797,0.0143266475644699,0.00286532951289398,0.00286532951289398,0,0,0,0,0,0,0,0,0,0
"110",0.00613496932515338,0.0777096114519428,0.384458077709612,0.196319018404908,0.134969325153374,0.0347648261758691,0.0081799591002045,0.0756646216768917,0.0122699386503067,0.00613496932515338,0.0429447852760736,0.00408997955010225,0.00204498977505112,0.00204498977505112,0,0,0,0.0102249488752556,0,0,0,0,0,0,0,0,0,0,0.00204498977505112,0
"111",0.0121951219512195,0.0934959349593496,0.33739837398374,0.195121951219512,0.121951219512195,0.032520325203252,0.016260162601626,0.0650406504065041,0.016260162601626,0.024390243902439,0.032520325203252,0.0121951219512195,0,0.024390243902439,0,0.0040650406504065,0.0040650406504065,0.00813008130081301,0,0,0,0,0,0,0,0,0,0,0,0
"112",0.0103806228373702,0.0934256055363321,0.449826989619377,0.169550173010381,0.169550173010381,0.0069204152249135,0.0103806228373702,0.0242214532871972,0,0.0103806228373702,0.0242214532871972,0.013840830449827,0.00346020761245675,0.0069204152249135,0.00346020761245675,0,0,0.00346020761245675,0,0,0,0,0,0,0,0,0,0,0,0
"129",0.00808625336927224,0.0700808625336927,0.398921832884096,0.180592991913747,0.215633423180593,0.0296495956873315,0,0.0431266846361186,0.0134770889487871,0.00539083557951483,0.0134770889487871,0,0,0.0107816711590297,0,0.00269541778975741,0,0.00269541778975741,0,0.00269541778975741,0,0,0,0,0,0,0,0.00269541778975741,0,0
"130",0,0.00982800982800983,0.385749385749387,0.122850122850123,0.167076167076167,0.0221130221130221,0.0196560196560197,0.0466830466830467,0.0147420147420147,0.0196560196560197,0.090909090909091,0.0245700245700246,0.00491400491400491,0.0294840294840295,0.0122850122850123,0,0,0.0294840294840295,0,0,0,0,0,0,0,0,0,0,0,0
"134",0.0154639175257732,0.0567010309278351,0.448453608247422,0.128865979381443,0.170103092783505,0.0154639175257732,0.0206185567010309,0.0257731958762887,0.0154639175257732,0.0154639175257732,0.0360824742268041,0.0103092783505155,0.00515463917525773,0.00515463917525773,0.0103092783505155,0,0,0.0154639175257732,0,0,0,0,0,0,0,0,0,0.00515463917525773,0,0
"138",0.0196078431372549,0.0849673202614379,0.352941176470588,0.156862745098039,0.189542483660131,0.0392156862745098,0.0196078431372549,0.0392156862745098,0.0130718954248366,0.0065359477124183,0.0261437908496732,0,0.0065359477124183,0.0196078431372549,0,0,0.0065359477124183,0.0130718954248366,0,0.0065359477124183,0,0,0,0,0,0,0,0,0,0
"139",0.0048780487804878,0.048780487804878,0.478048780487805,0.151219512195122,0.160975609756098,0.024390243902439,0.0195121951219512,0.0536585365853658,0,0.0048780487804878,0.024390243902439,0.0048780487804878,0.00975609756097561,0.0048780487804878,0,0,0,0.00975609756097561,0,0,0,0,0,0,0,0,0,0,0,0
"140",0.004739336492891,0.0616113744075829,0.473933649289102,0.130331753554502,0.116113744075829,0.0308056872037915,0.0118483412322275,0.0521327014218009,0.00947867298578199,0.0165876777251185,0.0473933649289099,0.00710900473933649,0.00710900473933649,0.00947867298578199,0.0023696682464455,0.0023696682464455,0,0.0165876777251185,0,0,0,0,0,0,0,0,0,0,0,0
"142",0.00286532951289398,0.0544412607449857,0.404011461318051,0.171919770773639,0.171919770773639,0.0401146131805158,0.0143266475644699,0.0458452722063037,0.0171919770773639,0.0114613180515759,0.0257879656160458,0.00859598853868195,0.00286532951289398,0.0114613180515759,0.00286532951289398,0,0,0.00286532951289398,0,0.0114613180515759,0,0,0,0,0,0,0,0,0,0
"143",0.00769230769230769,0.0615384615384615,0.499999999999999,0.223076923076923,0.0769230769230769,0.0153846153846154,0.0153846153846154,0.0307692307692308,0.00769230769230769,0.0230769230769231,0.0153846153846154,0,0,0.00769230769230769,0.00769230769230769,0,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0
